accuracy,balanced_accuracy,macro_f1,glass_precision,glass_recall,plastic_recall,mcc,n,tn_plastic_ok,plastic_as_glass,glass_as_plastic,tp_glass_ok,glass_to_plastic_rate,plastic_to_glass_rate,roc_auc,cue_removed,model,ba_ci_lo,ba_ci_hi,ba_ci_width,n_test
0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8666666666666667,120,56,4,4,56,0.06666666666666667,0.06666666666666667,0.9808333333333332,without_distortion,logreg_l2,0.8833038720538721,0.9706290849673203,0.08732521291344819,120
0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8666666666666667,120,56,4,4,56,0.06666666666666667,0.06666666666666667,0.9797222222222223,without_chromatic,svm_rbf,0.8836848884538706,0.9752600377496321,0.0915751492957615,120
0.9083333333333333,0.9083333333333333,0.9082760058369814,0.9298245614035088,0.8833333333333333,0.9333333333333333,0.8176894180588729,120,56,4,7,53,0.11666666666666667,0.06666666666666667,0.9784722222222221,without_chromatic,extra_trees,0.8537259375167566,0.9587111105208964,0.10498517300413979,120
0.925,0.925,0.9249947913049518,0.9180327868852459,0.9333333333333333,0.9166666666666666,0.8501180801561576,120,55,5,4,56,0.06666666666666667,0.08333333333333333,0.9822222222222222,without_chromatic,logreg_l2,0.8717169234274498,0.9680175807639902,0.09630065733654047,120
0.9333333333333333,0.9333333333333333,0.9333148096693527,0.9193548387096774,0.95,0.9166666666666666,0.8671485497545911,120,55,5,3,57,0.05,0.08333333333333333,0.9813888888888889,without_edge_contrast,svm_rbf,0.8837597330367075,0.9751349385303852,0.09137520549367772,120
0.9083333333333333,0.9083333333333333,0.9083269671504965,0.9152542372881356,0.9,0.9166666666666666,0.8167801162284651,120,55,5,6,54,0.1,0.08333333333333333,0.9683333333333334,without_edge_contrast,extra_trees,0.8558736000841264,0.9601666279159884,0.104293027831862,120
0.9166666666666666,0.9166666666666666,0.9165739710789766,0.9464285714285714,0.8833333333333333,0.95,0.8351913809763262,120,57,3,7,53,0.11666666666666667,0.05,0.9752777777777778,without_edge_contrast,logreg_l2,0.8661864622493735,0.96718644577764,0.10099998352826656,120
0.8583333333333333,0.8583333333333334,0.858086956521739,0.8307692307692308,0.9,0.8166666666666667,0.719168128606098,120,49,11,6,54,0.1,0.18333333333333332,0.9444444444444445,all_cues_weakened,svm_rbf,0.7840352788969159,0.9147869674185463,0.13075168852163033,120
0.875,0.875,0.8749913188415862,0.8688524590163934,0.8833333333333333,0.8666666666666667,0.7501041883730802,120,52,8,7,53,0.11666666666666667,0.13333333333333333,0.9456944444444445,all_cues_weakened,extra_trees,0.8086877720663147,0.9270466780462185,0.11835890597990384,120
0.875,0.875,0.8749913188415862,0.8688524590163934,0.8833333333333333,0.8666666666666667,0.7501041883730802,120,52,8,7,53,0.11666666666666667,0.13333333333333333,0.9502777777777778,all_cues_weakened,logreg_l2,0.806579926378446,0.9285266122766122,0.12194668589816615,120
